"university_name, city",university_ege_2017,university_grow_2016_2017,university_gov_stidents_count,university_stidents_compet_count,university_stidents_olimp_count,university_stidents_quot_count,university_stidents_target_count,university_ege_minus_id,university_name,university_city
Московский государственный медико-стоматологический университет,75.4,0.6,620,170,0,61,389,Да,Московский государственный медико-стоматологический университет,Не определено
Московский государственный областной университет,70.2,1.7,970,690,7,55,218,Да,Московский государственный областной университет,Не определено
Московский государственный технический университет гражданской авиации,65.0,1.1,426,331,0,7,88,Да,Московский государственный технический университет гражданской авиации,Не определено
Московский государственный технический университет им. Н.Э. Баумана,78.9,1.9,3154,1754,79,136,1185,Да,Московский государственный технический университет им. Н.Э. Баумана,Не определено
"Московский государственный технологический университет ""Станкин""",66.0,0.1,660,583,1,6,70,Да,"Московский государственный технологический университет ""Станкин""",Не определено
Московский государственный университет геодезии и картографии,69.1,3.4,443,410,1,9,23,Да,Московский государственный университет геодезии и картографии,Не определено
Московский государственный университет им. М.В. Ломоносова,88.5,0.7,3727,3044,422,165,96,Да,Московский государственный университет им. М.В. Ломоносова,Не определено
Московский государственный университет пищевых производств,61.6,,535,510,0,19,6,Да,Московский государственный университет пищевых производств,Не определено
Московский государственный университет путей сообщения,60.6,0.4,1371,769,1,38,563,Да,Московский государственный университет путей сообщения,Не определено
Московский государственный университет технологий и управления им. К.Г. Разумовского (Первый казачий университет),70.1,-2.9,292,226,0,15,51,Да,Московский государственный университет технологий и управления им. К.Г. Разумовского (Первый казачий университет),Не определено
Московский государственный юридический университет им. О.Е. Кутафина,85.1,1.6,690,465,1,70,154,Да,Московский государственный юридический университет им. О.Е. Кутафина,Не определено
Московский педагогический государственный университет,76.7,1.8,1318,1202,0,116,0,Да,Московский педагогический государственный университет,Не определено
Московский политехнический университет,73.8,3,1224,1158,8,35,23,Нет,Московский политехнический университет,Не определено
Московский технический университет связи и информатики,69.8,3.1,566,541,0,22,3,Да,Московский технический университет связи и информатики,Не определено
Московский технологический университет,71.5,1.8,2388,2071,0,75,242,Да,Московский технологический университет,Не определено
Московский физико-технический институт,94.1,0.3,860,631,138,11,80,Да,Московский физико-технический институт,Не определено
Мурманский арктический государственный университет,65.5,-0.6,321,271,0,20,30,Да,Мурманский арктический государственный университет,Не определено
Мурманский государственный технический университет,62.1,0.2,358,348,0,5,5,Нет,Мурманский государственный технический университет,Не определено
Мытищинский филиал МГТУ им. Н. Э. Баумана (МГУЛ),54.8,2.5,506,414,0,3,89,Да,Мытищинский филиал МГТУ им. Н. Э. Баумана (МГУЛ),Не определено
Набережночелнинский государственный педагогический университет,71.5,2.4,187,160,0,10,17,Нет,Набережночелнинский государственный педагогический университет,Не определено
"Национальный исследовательский Мордовский государственный университет им. Н.П. Огарева, г. Саранск",64.5,2.3,1204,996,7,62,139,Нет,Национальный исследовательский Мордовский государственный университет им. Н.П. Огарева, Саранск
Национальный исследовательский Московский государственный строительный университет,71.6,0,1140,1032,2,26,80,Да,Национальный исследовательский Московский государственный строительный университет,Не определено
Национальный исследовательский Томский государственный университет,76.1,3.3,1499,1271,68,38,122,Да,Национальный исследовательский Томский государственный университет,Не определено
Национальный исследовательский Томский политехнический университет,77.2,0.2,1216,1072,39,16,89,Да,Национальный исследовательский Томский политехнический университет,Не определено
"Национальный исследовательский Южно-Уральский государственный университет, г. Челябинск",67.5,1.3,1827,1665,13,60,89,Нет,Национальный исследовательский Южно-Уральский государственный университет, Челябинск
"Национальный исследовательский технологический университет ""МИСиС"", г. Москва",82.7,1.9,633,587,30,9,7,Да,"Национальный исследовательский технологический университет ""МИСиС""", Москва
"Национальный исследовательский университет ""Высшая школа экономики"", г. Москва",93.9,1.7,1949,916,879,108,46,Да,"Национальный исследовательский университет ""Высшая школа экономики""", Москва
"Национальный исследовательский университет ""Высшая школа экономики"", филиал, г. Нижний Новгород",82.1,0.6,345,324,16,2,3,Да,"Национальный исследовательский университет ""Высшая школа экономики"", филиал", Нижний Новгород
"Национальный исследовательский университет ""Высшая школа экономики"", филиал, г. Пермь",83.0,1.4,185,184,0,1,0,Да,"Национальный исследовательский университет ""Высшая школа экономики"", филиал", Пермь
