,university_name,university_status,university_city,university_ball
389,Нижегородская государственная сельскохозяйственная академия,,Нижний Новгород,"11,31"
390,Ярославский государственный технический университет,,Ярославль,"11,15"
391,Санкт-Петербургская государственная консерватория им. Н.А. Римского-Корсакова,,Санкт-Петербург,"11,04"
392,Орловский государственный университет экономики и торговли,,Орел,"11,01"
393,Сибирский государственный университет водного транспорта,,Новосибирск,"10,83"
394,Сибирский юридический институт МВД РФ,,Красноярск,"10,73"
395,Государственный гуманитарно-технологический университет,,Орехово-Зуево,"10,68"
396,Дагестанский государственный медицинский университет,,Махачкала,"10,5"
397,Санкт-Петербургский национальный исследовательский Академический университет РАН,национальный исследовательский университет,Санкт-Петербург,"10,43"
398,Московский государственный университет геодезии и картографии,,Москва,"10,38"
399,Уфимский юридический институт МВД РФ,,Уфа,"10,3"
400,Приамурский государственный университет им. Шолом-Алейхема,опорный университет,Биробиджан,"10,1"
401,Армавирский государственный педагогический университет,,Армавир,10
402,Северо-Осетинская государственная медицинская академия,,Владикавказ,"9,93"
403,Сибирский государственный университет телекоммуникаций и информатики,,Новосибирск,"9,81"
404,Кемеровский государственный сельскохозяйственный институт,,Кемерово,"9,79"
405,Калужский государственный университет им. К.Э. Циолковского,,Калуга,"9,75"
406,Ангарский государственный технический университет,,Ангарск,"9,2"
407,Башкирская академия государственной службы и управления при Главе Республики Башкортостан,,Уфа,"9,14"
408,Орловский юридический институт МВД РФ им. В.В. Лукьянова,,Орел,"9,09"
409,Казанский государственный институт культуры,,Казань,"9,04"
410,Тувинский государственный университет,,Кызыл,"8,99"
411,Академия гражданской защиты МЧС России,,Химки,"8,92"
412,Восточно-Сибирский институт МВД РФ,,Иркутск,"8,81"
413,Тверская государственная сельскохозяйственная академия,,Тверь,"8,8"
414,Воронежский экономико-правовой институт,,Воронеж,"8,75"
415,Шадринский государственный педагогический университет,,Шадринск,"8,62"
416,Дальневосточный юридический институт МВД РФ,,Хабаровск,"8,59"
417,Благовещенский государственный педагогический университет,,Благовещенск,"8,59"
418,Дальневосточный государственный технический рыбохозяйственный университет,,Владивосток,"8,59"
419,Новосибирский военный институт им. генерала армии И.К. Яковлева войск национальной гвардии Российской Федерации,,Новосибирск,"8,53"
420,Московский гуманитарно-экономический университет,,Москва,"8,13"
421,Алтайский государственный гуманитарно-педагогический университет им. В.М. Шукшина,,Бийск,"8,08"
422,Мурманский арктический государственный университет,опорный университет,Мурманск,"8,07"
423,Воронежский институт ФСИН России,,Воронеж,"8,03"
424,Воронежский институт высоких технологий,,Воронеж,"8,01"
425,Сибирский университет потребительской кооперации,,Новосибирск,"7,88"
426,Рыбинский государственный авиационный технический университет им. П.А. Соловьева,,Рыбинск,"7,81"
427,Московская академия следственного комитета,,Москва,"7,78"
428,Российская международная академия туризма,,Сходня,"7,77"
429,Бурятская государственная сельскохозяйственная академия им. В.Р. Филиппова,,Улан-Удэ,"7,69"
